country_code;country_name;country_region
AUS;Australia;EAS
BRA;Brazil;LCN
CHN;China;EAS
DEU;Germany;ECS
FRA;France;ECS
GRC;Greece;ECS
IND;India;SAS
NGA;Nigeria;SSF
RWA;Rwanda;SSF
USA;United States;NAC
